"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
24	8.444130077177932e-01	-1.221350013167784e-02	1.294291101250439e+00	3.457204783916841e+01	2.600353608452430e+00	2.538892627981595e+05	1.013699681811791e+05	2.728397797261505e+02	7.341571677335189e-01	8.089384343758702e-02	
25	8.324413973426005e-01	-1.310596977327213e-02	1.294279771909808e+00	3.466020320131180e+01	2.570668442798961e+00	2.538876981226411e+05	1.013684213025420e+05	2.728380045016042e+02	7.089025986312159e-01	8.109477715640265e-02	
26	8.201244484904462e-01	-1.401190460466041e-02	1.294275121827025e+00	3.472572811778500e+01	2.532966294245789e+00	2.538872516025682e+05	1.013675692010399e+05	2.728366912757218e+02	6.949910636522955e-01	8.124128872358988e-02	
27	8.074727203005155e-01	-1.492882669875185e-02	1.294267461388392e+00	3.483566951414554e+01	2.501673168097867e+00	2.538865970641858e+05	1.013661488457392e+05	2.728344831351410e+02	6.718021332260692e-01	8.149268836502939e-02	
28	7.944757273146087e-01	-1.585486001455398e-02	1.294273519812963e+00	3.493019668397667e+01	2.460354135103512e+00	2.538884868497238e+05	1.013659182553472e+05	2.728325853634529e+02	6.680374804286723e-01	8.170575813220132e-02	
29	7.811650424175004e-01	-1.678646822301906e-02	1.294274491658508e+00	3.506692499495941e+01	2.425450228178093e+00	2.538897328501601e+05	1.013649642381387e+05	2.728298127048757e+02	6.524620545736290e-01	8.201870086552517e-02	
30	7.675511882138075e-01	-1.772162649402171e-02	1.294275708396977e+00	3.519382503678599e+01	2.393360285826359e+00	2.538909439225400e+05	1.013640949686234e+05	2.728272165314499e+02	6.382702320758925e-01	8.230929922837724e-02	
31	7.536552746574462e-01	-1.865774455984773e-02	1.294296405813290e+00	3.531764931747964e+01	2.346838925883135e+00	2.538959819604147e+05	1.013647981793088e+05	2.728247463846699e+02	6.497509535902825e-01	8.258934643657834e-02	
32	7.394773500671808e-01	-1.959235388314169e-02	1.294284749029096e+00	3.542632638426328e+01	2.312669784696095e+00	2.538945333972881e+05	1.013630535823571e+05	2.728225078914579e+02	6.212684060797239e-01	8.283822327164793e-02	
33	7.250279360501072e-01	-2.052340930840243e-02	1.294317609972022e+00	3.554357152334184e+01	2.246699133664868e+00	2.539018287560476e+05	1.013647373934214e+05	2.728201132297892e+02	6.487585542138112e-01	8.309962108574116e-02	
34	7.103384694505754e-01	-2.144677560165198e-02	1.294304924743996e+00	3.568671065231240e+01	2.216130905726165e+00	2.539004213611447e+05	1.013626181019103e+05	2.728170830214019e+02	6.141586879847346e-01	8.342977609870210e-02	
35	6.954197099720223e-01	-2.236134828822819e-02	1.294339763518676e+00	3.584499087609844e+01	2.149409492996683e+00	2.539083929848059e+05	1.013641076045300e+05	2.728137486906283e+02	6.384765277536925e-01	8.378718530439312e-02	
36	6.802715866049328e-01	-2.326449798195294e-02	1.294344875160072e+00	3.604179741098672e+01	2.113513827834473e+00	2.539109006796242e+05	1.013629490210571e+05	2.728095530649353e+02	6.195613228509844e-01	8.424094478536066e-02	
