"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
23	8.610232389532305e-01	-2.561814644257597e-02	1.292227599449898e+00	1.124103763911974e+01	2.010154002822587e+00	2.533885773070945e+05	1.013352484648289e+05	2.731818674499974e+02	1.673179504951810e-01	2.667029041439237e-02	
24	8.498324852315075e-01	-2.760784887076017e-02	1.292221183930749e+00	1.133383470891726e+01	2.002427980664660e+00	2.533874561226487e+05	1.013344804593577e+05	2.731811533051740e+02	1.547793797379570e-01	2.688068720332297e-02	
25	8.382639191343934e-01	-2.963904194924040e-02	1.292215394225727e+00	1.142358158960303e+01	1.992108260034227e+00	2.533863585266569e+05	1.013337315998369e+05	2.731803584677727e+02	1.425533885959857e-01	2.708313292332017e-02	
26	8.263576938108586e-01	-3.170102337321781e-02	1.292210354204754e+00	1.150969270631803e+01	1.979233749363069e+00	2.533853462368106e+05	1.013330288677993e+05	2.731795294895666e+02	1.310804815564277e-01	2.727631839640756e-02	
27	8.141238488873572e-01	-3.379004459881564e-02	1.292203710973588e+00	1.159414864833238e+01	1.964769769600671e+00	2.533842411042455e+05	1.013322935310034e+05	2.731789515337363e+02	1.190752644167772e-01	2.746524438851886e-02	
28	8.015518211493977e-01	-3.590387498908559e-02	1.292198245498747e+00	1.167528685950258e+01	1.946644108273969e+00	2.533833167762771e+05	1.013316424608960e+05	2.731783517605061e+02	1.084457976804884e-01	2.764525767558533e-02	
29	7.886715403195000e-01	-3.803280885859656e-02	1.292190623706113e+00	1.175373040644441e+01	1.926437762198168e+00	2.533823864255250e+05	1.013309978498444e+05	2.731782252551930e+02	9.792178244205685e-02	2.781849047944433e-02	
30	7.754930953534189e-01	-4.017354303668059e-02	1.292182446867096e+00	1.183001958203643e+01	1.904406764943476e+00	2.533813722708320e+05	1.013303266395214e+05	2.731781443803756e+02	8.696350357221207e-02	2.798629846205898e-02	
31	7.620364572501371e-01	-4.231891564224660e-02	1.292172650437494e+00	1.190507230368055e+01	1.879569011498854e+00	2.533805396495927e+05	1.013297322503634e+05	2.731786130070341e+02	7.725941838649970e-02	2.815046372483579e-02	
32	7.483013436628907e-01	-4.446518040327355e-02	1.292163912209063e+00	1.197836285050654e+01	1.851807034505311e+00	2.533796460788890e+05	1.013291197736371e+05	2.731788091609890e+02	6.726003289061230e-02	2.830976494160107e-02	
