"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
111, 3.021820266541440e-02, 4.788703659758486e-02, 1.012325555771950e+05, -1.509261300763810e+00, 4.585873910291634e-02
112, 3.524344196080444e-02, 5.185532922297394e-02, 1.012292686238362e+05, -1.562924586781824e+00, 4.638290904648358e-02
113, 4.077664803853897e-02, 5.584756220832571e-02, 1.012268263854575e+05, -1.602796931271568e+00, 4.680316864640933e-02
114, 4.681762281725985e-02, 5.983594383434996e-02, 1.012246290148171e+05, -1.638671528899672e+00, 4.712175806520066e-02
115, 5.337153686743919e-02, 6.380117995784941e-02, 1.012233813674344e+05, -1.659040804346023e+00, 4.735054503327330e-02
116, 6.043106241927901e-02, 6.772219691557645e-02, 1.012224871637190e+05, -1.673639706277446e+00, 4.750550768168837e-02
117, 6.798787622231627e-02, 7.157884441261819e-02, 1.012221075166150e+05, -1.679837880971445e+00, 4.759301370307924e-02
118, 7.604155935468569e-02, 7.535790337051718e-02, 1.012219898226212e+05, -1.681759370498134e+00, 4.762423457396889e-02
119, 8.457244391109828e-02, 7.903729024069642e-02, 1.012221943124687e+05, -1.678420839044212e+00, 4.760433667692508e-02
120, 9.357752911238112e-02, 8.260907115364627e-02, 1.012228613382810e+05, -1.667530877113704e+00, 4.754658926510541e-02
