"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
10	9.652245691421416e-01	5.763911005674952e-03	6.062390706913417e+04	-4.257016590084647e+02	6.147143006427949e+01	2.897530666103909e-01	3.637785018051183e+06	0.000000000000000e+00	
11	9.587041468525976e-01	6.928910883901034e-03	5.105738765552782e+04	-3.145762019086295e+02	4.485029306482223e+01	2.459203087960802e-01	2.700694111735275e+06	0.000000000000000e+00	
12	9.516502474865917e-01	8.190512031351805e-03	4.314764865449004e+04	-2.247264327983710e+02	3.111228647277471e+01	2.101436670235337e-01	2.058426359586694e+06	0.000000000000000e+00	
13	9.440624850757006e-01	9.544935130565677e-03	3.660292449347485e+04	-1.519213387428341e+02	1.987880572855099e+01	1.813461061295880e-01	1.592015097085730e+06	0.000000000000000e+00	
14	9.359525614831997e-01	1.098961438212444e-02	3.112480068070636e+04	-9.230992361378536e+01	1.105044212905980e+01	1.577157902513353e-01	1.243336247292605e+06	0.000000000000000e+00	
15	9.273317647229068e-01	1.251924899764636e-02	2.661983972101921e+04	-4.479324180411115e+01	3.304651651957363e+00	1.382120971235393e-01	9.794982790839862e+05	0.000000000000000e+00	
16	9.182113430906147e-01	1.412829720316033e-02	2.276833077607312e+04	-4.801543365861864e+00	-2.459428857147029e+00	1.222205867399069e-01	7.880131687992794e+05	0.000000000000000e+00	
17	9.085796771262372e-01	1.581753550429240e-02	1.963230288416999e+04	2.645041475634384e+01	-7.575182642693002e+00	1.087026699850955e-01	6.151942583964170e+05	0.000000000000000e+00	
18	8.984711492422967e-01	1.757691489053568e-02	1.688919003450983e+04	5.367113625432405e+01	-1.120994059213638e+01	9.782728490311923e-02	4.978203287758116e+05	0.000000000000000e+00	
19	8.878737348819007e-01	1.940440394921595e-02	1.469330096191284e+04	7.472501445285424e+01	-1.447973194926311e+01	8.794094690081006e-02	4.097092037637153e+05	0.000000000000000e+00	
20	8.768105509978296e-01	2.129407148632207e-02	1.279405894217687e+04	9.383398690465899e+01	-1.712465815869693e+01	7.947142153956027e-02	3.447904282506609e+05	0.000000000000000e+00	
21	8.652928423787475e-01	2.324019805164617e-02	1.128412791318069e+04	1.096932125750775e+02	-1.906740120309360e+01	7.169157092868125e-02	2.849001173717296e+05	0.000000000000000e+00	
22	8.533200888798771e-01	2.523863822804038e-02	1.007897294404735e+04	1.232164136666990e+02	-2.125913770120303e+01	6.523695936219233e-02	1.857507444385900e+05	0.000000000000000e+00	
23	8.409153879593313e-01	2.728246594795708e-02	8.960139926807497e+03	1.382218559485336e+02	-2.309496639165017e+01	5.979038678547259e-02	1.365669759581646e+05	0.000000000000000e+00	
24	8.281014527668826e-01	2.936329387617725e-02	8.084444141352160e+03	1.525115025317393e+02	-2.498613712382771e+01	5.555654608754353e-02	7.943081176372022e+04	0.000000000000000e+00	
25	8.148547511089335e-01	3.148133989441804e-02	7.268210950818559e+03	1.668364874349853e+02	-2.597138094038682e+01	5.271556123434540e-02	5.955930649339960e+04	0.000000000000000e+00	
26	8.012213821965695e-01	3.362533043542817e-02	6.699904375974502e+03	1.772967496670882e+02	-2.703613728688883e+01	5.037955372275263e-02	1.596897643835113e+04	0.000000000000000e+00	
27	7.872125302347710e-01	3.578881172146522e-02	6.099928993907431e+03	1.878698630094413e+02	-2.778146331890278e+01	4.857960806664666e-02	2.591336288013032e+04	0.000000000000000e+00	
28	7.728162704094517e-01	3.796950436907563e-02	5.645460285293448e+03	1.963844469282689e+02	-2.859638875291113e+01	4.676551904521131e-02	1.675098248686538e+04	0.000000000000000e+00	
29	7.580670373807900e-01	4.015717789657114e-02	5.172703530452348e+03	2.052723368366143e+02	-2.935227480386007e+01	4.532669556614922e-02	2.434893129812552e+04	0.000000000000000e+00	
30	7.429760522629655e-01	4.234559277027442e-02	4.760866883372073e+03	2.130539324204442e+02	-2.942654334055311e+01	4.394233415552080e-02	-1.038669999919040e+04	0.000000000000000e+00	
31	7.275664709833690e-01	4.452811441436424e-02	4.457978110988104e+03	2.188437956150630e+02	-2.972180670658131e+01	4.259726332809403e-02	-5.827057732965960e+03	0.000000000000000e+00	
32	7.118377894309812e-01	4.669835580010728e-02	4.143107169301756e+03	2.244032332960402e+02	-2.915999348524184e+01	4.189163875701026e-02	-5.213776529179473e+03	0.000000000000000e+00	
33	6.958014120257701e-01	4.885075237731187e-02	3.905695633193084e+03	2.287961944916491e+02	-2.938309070603388e+01	4.068223761576858e-02	-4.348421905500414e+03	0.000000000000000e+00	
34	6.794919198239832e-01	5.097572386565648e-02	3.575859247483290e+03	2.342275873397535e+02	-2.869738704344057e+01	4.006584858696657e-02	-3.265762626870281e+04	0.000000000000000e+00	
35	6.629207961723524e-01	5.306624151852765e-02	3.363791629393934e+03	2.375930393120756e+02	-2.847728030680482e+01	3.883103362149086e-02	-2.484718788575098e+04	0.000000000000000e+00	
36	6.460879056032148e-01	5.511851058585211e-02	3.071848464427203e+03	2.417840049968928e+02	-2.756454086138283e+01	3.846175484504517e-02	-1.107287475758387e+04	0.000000000000000e+00	
37	6.290278871264925e-01	5.712189434786115e-02	2.895684641269336e+03	2.442198762138520e+02	-2.703739120557689e+01	3.739936681974538e-02	-5.050108980155460e+03	0.000000000000000e+00	
38	6.117523141295624e-01	5.907010769628673e-02	2.602564891894363e+03	2.482571740277132e+02	-2.609432300857020e+01	3.694842707997872e-02	-3.295046227636316e+04	0.000000000000000e+00	
39	5.942727991848265e-01	6.095669116842053e-02	2.448023221915128e+03	2.497748717748885e+02	-2.512047160586173e+01	3.588455619723952e-02	-2.339356105143897e+04	0.000000000000000e+00	
40	5.766127430764177e-01	6.277437032619562e-02	2.191190605428125e+03	2.529487635137354e+02	-2.396203079385462e+01	3.551649065963677e-02	-1.251267243269412e+04	0.000000000000000e+00	
41	5.587953875007694e-01	6.451521421992032e-02	2.059191210459001e+03	2.540074601968661e+02	-2.291819732237937e+01	3.459915733867298e-02	-5.232107755434368e+03	0.000000000000000e+00	
42	5.408325764369140e-01	6.617272043269275e-02	1.794978212568305e+03	2.574143610760167e+02	-2.162519889598751e+01	3.403741732003312e-02	-3.488209321125230e+04	0.000000000000000e+00	
43	5.227360924570246e-01	6.773972963616928e-02	1.659720867547020e+03	2.582297986835973e+02	-2.025865224738224e+01	3.291978498321790e-02	-2.435417641672516e+04	0.000000000000000e+00	
44	5.045294840058494e-01	6.920864037265079e-02	1.408171406406865e+03	2.614415933270827e+02	-1.883515864333051e+01	3.225424999802610e-02	-2.177464572518915e+04	0.000000000000000e+00	
45	4.862247340943022e-01	7.057383239965065e-02	1.248127129262663e+03	2.630518355780420e+02	-1.744388284140239e+01	3.110344696865356e-02	-8.900901784476477e+03	0.000000000000000e+00	
46	4.678572941925933e-01	7.182561875503760e-02	9.344793378537651e+02	2.675426673506904e+02	-1.611027035752301e+01	3.024781508276447e-02	-5.804998242950020e+04	0.000000000000000e+00	
47	4.494276238117749e-01	7.295980765310492e-02	7.186551534287380e+02	2.700639146761179e+02	-1.427988616475288e+01	2.839035216825325e-02	-3.590577582614575e+04	0.000000000000000e+00	
48	4.309712624547055e-01	7.396772306286897e-02	4.030311952223380e+02	2.745379297551465e+02	-1.261359154428687e+01	2.725060644307446e-02	-4.016515379512693e+04	0.000000000000000e+00	
49	4.124888396549581e-01	7.484247042040988e-02	1.791547879644737e+02	2.774480880269791e+02	-1.049288544202872e+01	2.571678215244162e-02	-2.603856184828606e+04	0.000000000000000e+00	
50	3.940161750386491e-01	7.557799225989956e-02	-1.340865192312225e+02	2.817738536108926e+02	-8.791592432955120e+00	2.434720943332503e-02	-8.338932169506550e+04	0.000000000000000e+00	
51	3.755657480305278e-01	7.616648035100153e-02	-4.117882778299327e+02	2.855549190650369e+02	-5.976369539923827e+00	2.254892990338171e-02	-5.462408272827188e+04	0.000000000000000e+00	
52	3.571501754646673e-01	7.660035825027536e-02	-6.644085557482875e+02	2.895137945879793e+02	-4.471872316612534e+00	2.085617422022329e-02	-7.057480332222546e+04	0.000000000000000e+00	
53	3.388056379328901e-01	7.687370775513649e-02	-1.093183318084220e+03	2.960452871607356e+02	-1.089403432526689e+00	1.925856647068265e-02	-4.125248812317800e+04	0.000000000000000e+00	
54	3.205333071533245e-01	7.697894296985701e-02	-1.307588335416341e+03	2.992198562912899e+02	5.389227617761937e-01	1.750010810999729e-02	-1.350623283946779e+05	0.000000000000000e+00	
55	3.023579828794519e-01	7.690849400481681e-02	-1.751827469720985e+03	3.041720923410861e+02	5.538279371334294e+00	1.506235086955203e-02	-8.409544878477648e+04	0.000000000000000e+00	
56	2.843045821456371e-01	7.665497564849755e-02	-1.714720484541546e+03	3.019605007740565e+02	7.918198661130898e+00	1.356308503163043e-02	-1.374065152981750e+05	0.000000000000000e+00	
