"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
82, 1.198201612823001e+02, 2.226555230582269e+01, -9.184053914952020e-02, 5.503927723811541e-01, 6.943302188972286e-05, 2.077277721824417e-02, -1.422934399429372e-02
83, -6.048058798463903e+02, 2.929610993923016e+02, -4.443971756338049e-01, 3.981021507427759e-01, -1.143112449876187e-03, 1.294049493779852e-02, -1.163108558244893e-02
84, -1.072275412286044e+04, 2.432328296914371e+02, -1.107341121844735e+00, 2.651095195059058e+00, 1.066681348778499e-03, 5.840260332517423e-03, -8.348653317305790e-03
85, 1.153311664975485e+06, -1.847968985044188e+02, -2.385112546222719e+01, -9.922396708023095e+00, 6.678165788128547e-04, 4.665304330435938e-04, -3.402756945659037e-03
86, -5.305890063039237e+03, 7.700074240716153e+00, -1.579033369205126e-01, -1.045467045518569e+00, 8.346026826677249e-04, 7.195665670939322e-04, 3.458375583555044e-03
87, -7.693634992197439e+02, 6.926471984688156e+01, 1.012503471582822e+00, -5.291650997422336e-01, -8.466486106115368e-04, 1.182486030275487e-03, 9.987872577640906e-03
88, 6.127079305381714e+01, -1.496103911737994e+01, 8.036076109825585e-01, -9.254344845781776e-01, 8.090896116552885e-05, 2.195974845336204e-03, 1.601906700789587e-02
89, 2.326730873483755e+01, -1.289807765922398e+01, 7.519353445170616e-01, -9.797540224800709e-01, 7.537643522635953e-05, 3.348640157890610e-03, 2.160431385014350e-02
90, -2.782763386038490e+00, 1.090821218644733e+01, 6.854156122539639e-01, -1.068714114988343e+00, 6.308303358880320e-05, 4.591016579890821e-03, 2.672212790756847e-02
91, 5.842839691927303e-02, 1.354118144314551e+01, 6.402518295723771e-01, -1.091757247703897e+00, 6.104025063569794e-05, 5.926013826762954e-03, 3.141133597506299e-02
92, 1.664940147601242e+00, 1.160646895011243e+01, 6.114391509747222e-01, -1.066550477763357e+00, 6.185826958422898e-05, 7.289947504767556e-03, 3.567609771601873e-02
93, 1.690122456553883e+00, 1.030331495770449e+01, 5.858475986206741e-01, -1.032226184773570e+00, 5.572369523110657e-05, 8.652183432522640e-03, 3.954795647740261e-02
94, 2.811517084234372e+00, 9.924559262364619e+00, 5.602067274628298e-01, -1.011054972309160e+00, 5.332199603494659e-05, 9.996740298753970e-03, 4.306555298100447e-02
95, 2.968363349713827e+00, 9.842822788915790e+00, 5.368252273442410e-01, -9.955502433254690e-01, 5.104677746367866e-05, 1.131486780449695e-02, 4.627805970691562e-02
96, 3.629662064507312e+00, 9.835462640975550e+00, 5.168070053628361e-01, -9.823074449824849e-01, 4.962715357199874e-05, 1.260058509708387e-02, 4.922655193956559e-02
97, 3.472724976107655e-01, 9.502645508039935e+00, 4.996197110246018e-01, -9.657496755705758e-01, 4.549916379448685e-05, 1.387857998096713e-02, 5.200352827317765e-02
98, -8.840725905972642e-01, 9.348432461230484e+00, 4.869694238466472e-01, -9.531507366444499e-01, 4.590257351830375e-05, 1.517367166818800e-02, 5.468131647406522e-02
99, -9.813128519038490e-01, 9.831626207987295e+00, 4.706177483727145e-01, -9.471400673902338e-01, 4.706427158513792e-05, 1.581898510159313e-02, 5.596948422590579e-02
100, 2.579540306302441e+00, 9.544655133278722e+00, 4.585470441825530e-01, -9.385248537127898e-01, 4.421150472256894e-05, 1.647591468983398e-02, 5.725176639217327e-02
101, 5.033629525480982e+00, 9.326578308206818e+00, 4.448295444919347e-01, -9.292800703151383e-01, 4.452568798066626e-05, 1.786834763333204e-02, 5.988025892759062e-02
102, 1.761797157295289e+00, 9.486928042129241e+00, 4.256258804258813e-01, -9.185806000524334e-01, 4.373514102646409e-05, 1.934903382168380e-02, 6.255465634040107e-02
103, 2.360786972616516e+00, 9.546169737078616e+00, 4.077124781058903e-01, -9.060463210955746e-01, 4.284199245585320e-05, 2.095996502894949e-02, 6.533870554992365e-02
104, 1.768874697830824e+00, 9.572806184341752e+00, 3.888496876049144e-01, -8.915325754002286e-01, 4.157409631519914e-05, 2.275828043176731e-02, 6.830905437238723e-02
105, 1.998327602710772e+00, 9.508024333804517e+00, 3.700062871864744e-01, -8.751195288227895e-01, 4.027924831115640e-05, 2.477620284230221e-02, 7.148867000160279e-02
106, 1.944377131405175e+00, 9.493282193458315e+00, 3.498372115077709e-01, -8.572549031034365e-01, 3.876431293878254e-05, 2.705316811350653e-02, 7.490388868200620e-02
107, 1.948410029933758e+00, 9.431063070648364e+00, 3.294390337091693e-01, -8.374825027823343e-01, 3.709862124620697e-05, 2.962563071385818e-02, 7.856812656566065e-02
108, 2.022030635281764e+00, 9.373997523755927e+00, 3.082913600093395e-01, -8.159276270671242e-01, 3.535232886555312e-05, 3.252799588984923e-02, 8.248476231977390e-02
109, 1.808627518597166e+00, 9.282562770565171e+00, 2.870613669392892e-01, -7.923630756963764e-01, 3.335789826069286e-05, 3.577844222518253e-02, 8.663097676559067e-02
110, 1.821620014140800e+00, 9.192214122745604e+00, 2.656101785394508e-01, -7.671342407227408e-01, 3.134362880334341e-05, 3.942282182150446e-02, 9.101581932529421e-02
111, 1.668339336659107e+00, 9.076811204552778e+00, 2.444220900838391e-01, -7.402052904034955e-01, 2.921324693273555e-05, 4.346795457768933e-02, 9.559811967632527e-02
112, 1.444391029265192e+00, 8.953938409807968e+00, 2.234677214305260e-01, -7.116305951317496e-01, 2.700176426621068e-05, 4.794886647037450e-02, 1.003682767971662e-01
113, 1.335453300227497e+00, 8.800373941436192e+00, 2.031011531228336e-01, -6.816790377578807e-01, 2.473729996424828e-05, 5.288379777673788e-02, 1.052959123483450e-01
114, 1.145688971138326e+00, 8.638567153648291e+00, 1.836312683632937e-01, -6.505858362734356e-01, 2.251370846230011e-05, 5.828751111706450e-02, 1.103498769690000e-01
115, 1.007947956910473e+00, 8.455842630999117e+00, 1.651198983049413e-01, -6.183881352375084e-01, 2.021394383955623e-05, 6.418057475097112e-02, 1.155045887196134e-01
116, 7.999166218240401e-01, 8.250191900441266e+00, 1.479795567359189e-01, -5.851631990644205e-01, 1.787205446043964e-05, 7.057317602256612e-02, 1.207256919573308e-01
117, 6.544480769667753e-01, 8.015702808955300e+00, 1.324372781877232e-01, -5.511226297332784e-01, 1.544900998974182e-05, 7.747223163228772e-02, 1.259790987932931e-01
118, 5.059331818970699e-01, 7.747249960495505e+00, 1.188147181306110e-01, -5.162206244111678e-01, 1.287253877792741e-05, 8.489050460363291e-02, 1.312372182870094e-01
119, 3.621735768571708e-01, 7.462602601097509e+00, 1.069705721095933e-01, -4.810683699401311e-01, 1.029734105138669e-05, 9.282113381364084e-02, 1.364597043356333e-01
120, 2.757763729932460e-01, 7.164617427360724e+00, 9.662416828760984e-02, -4.458408788171309e-01, 7.736334237211222e-06, 1.012706132970946e-01, 1.416217944419110e-01
