"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
24, -2.628425669334932e-02, -1.095606666391884e+00, 1.510212345073328e-01, 2.387114039247177e-02, -1.912886299231983e-05, 8.444130077177932e-01, -1.221350013167784e-02
25, -3.744609098902337e-02, -1.047080019030920e+00, 1.490368059262516e-01, 2.457119402591254e-02, -1.878757809021917e-05, 8.324413973426005e-01, -1.310596977327213e-02
26, 1.222560336174811e-02, -1.005924946133771e+00, 1.473908650550375e-01, 2.524905280380111e-02, -1.864232649848491e-05, 8.201244484904462e-01, -1.401190460466041e-02
27, -2.183697259176077e-02, -9.629573954207525e-01, 1.457354227348448e-01, 2.607803697029137e-02, -1.855071860013163e-05, 8.074727203005155e-01, -1.492882669875185e-02
28, 7.378387630945322e-03, -9.316135657682528e-01, 1.444675812971427e-01, 2.698302774600466e-02, -1.848521682341988e-05, 7.944757273146087e-01, -1.585486001455398e-02
29, -3.914542995278144e-03, -9.063279024104272e-01, 1.433565679031689e-01, 2.800175321694889e-02, -1.844294395638044e-05, 7.811650424175004e-01, -1.678646822301906e-02
30, -1.080635666947498e-02, -8.854108818333819e-01, 1.424650758267527e-01, 2.900981641484073e-02, -1.839712074095374e-05, 7.675511882138075e-01, -1.772162649402171e-02
31, 4.442410488415851e-03, -8.744642136068449e-01, 1.416662936720507e-01, 3.019780253161895e-02, -1.835257544856501e-05, 7.536552746574462e-01, -1.865774455984773e-02
32, -1.703668902997052e-02, -8.539231069060661e-01, 1.409880325773881e-01, 3.138060328419928e-02, -1.835731426492915e-05, 7.394773500671808e-01, -1.959235388314169e-02
33, -1.718728657920601e-03, -8.382506767205316e-01, 1.403467474932351e-01, 3.271291651819122e-02, -1.833583761674903e-05, 7.250279360501072e-01, -2.052340930840243e-02
34, -1.633475641990248e-02, -8.195819103085908e-01, 1.399362324163868e-01, 3.399733977505848e-02, -1.836456643457956e-05, 7.103384694505754e-01, -2.144677560165198e-02
35, 4.091690099016947e-03, -8.116122611452693e-01, 1.395275959957748e-01, 3.541959995074174e-02, -1.835082305424262e-05, 6.954197099720223e-01, -2.236134828822819e-02
36, -2.999905731340831e-02, -8.004243544378205e-01, 1.393738639936070e-01, 3.683963022161712e-02, -1.839973692600567e-05, 6.802715866049328e-01, -2.326449798195294e-02
37, 1.253698958581682e-02, -7.997177625731903e-01, 1.393695313517569e-01, 3.842955994770429e-02, -1.837279772833513e-05, 6.649256001781256e-01, -2.415220148376413e-02
38, -4.156072868325440e-02, -7.935870556656561e-01, 1.393180667556047e-01, 3.996529220862655e-02, -1.840300210493587e-05, 6.493923309078459e-01, -2.502238892385156e-02
39, 1.916982634383683e-02, -7.983457925831968e-01, 1.394976999480231e-01, 4.160449339411924e-02, -1.839044169001874e-05, 6.336824072750655e-01, -2.587385383759007e-02
40, -4.942363309776839e-02, -7.934661193261880e-01, 1.394864845889463e-01, 4.328775326034572e-02, -1.842976330667326e-05, 6.178168755919121e-01, -2.670309587375116e-02
41, 1.725872318067348e-02, -8.023311258105091e-01, 1.398378553801732e-01, 4.510898956902994e-02, -1.841892438328782e-05, 6.018166378636840e-01, -2.750637521454460e-02
42, -5.331501840634775e-02, -8.025276830554766e-01, 1.397731020558011e-01, 4.684829842690288e-02, -1.844027110758953e-05, 5.856923996848482e-01, -2.828276518926024e-02
43, 1.363823065284981e-02, -8.118345846394208e-01, 1.403040070619074e-01, 4.875359560921043e-02, -1.841196816536171e-05, 5.694547311538859e-01, -2.903000571096055e-02
44, -5.242637326752516e-02, -8.190178480791905e-01, 1.401470828682154e-01, 5.063144978699013e-02, -1.841705075326390e-05, 5.531246585345200e-01, -2.974558876071776e-02
45, 1.147982326846020e-02, -8.425475145775652e-01, 1.405664439364243e-01, 5.273855832409437e-02, -1.833759235639571e-05, 5.367126638096298e-01, -3.042669534893463e-02
