"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
36	6.802715866049328e-01	-2.326449798195294e-02	-8.004243544378205e-01	1.393738639936070e-01	3.683963022161712e-02	-1.839973692600567e-05	-1.964147055847142e+00	0.000000000000000e+00	
37	6.649256001781256e-01	-2.415220148376413e-02	-7.997177625731903e-01	1.393695313517569e-01	3.842955994770429e-02	-1.837279772833513e-05	8.106881920514021e-01	0.000000000000000e+00	
38	6.493923309078459e-01	-2.502238892385156e-02	-7.935870556656561e-01	1.393180667556047e-01	3.996529220862655e-02	-1.840300210493587e-05	-2.656436017195369e+00	0.000000000000000e+00	
39	6.336824072750655e-01	-2.587385383759007e-02	-7.983457925831968e-01	1.394976999480231e-01	4.160449339411924e-02	-1.839044169001874e-05	1.212506820643006e+00	0.000000000000000e+00	
40	6.178168755919121e-01	-2.670309587375116e-02	-7.934661193261880e-01	1.394864845889463e-01	4.328775326034572e-02	-1.842976330667326e-05	-3.097926201298329e+00	0.000000000000000e+00	
41	6.018166378636840e-01	-2.750637521454460e-02	-8.023311258105091e-01	1.398378553801732e-01	4.510898956902994e-02	-1.841892438328782e-05	1.073193848105636e+00	0.000000000000000e+00	
42	5.856923996848482e-01	-2.828276518926024e-02	-8.025276830554766e-01	1.397731020558011e-01	4.684829842690288e-02	-1.844027110758953e-05	-3.291278686864596e+00	0.000000000000000e+00	
43	5.694547311538859e-01	-2.903000571096055e-02	-8.118345846394208e-01	1.403040070619074e-01	4.875359560921043e-02	-1.841196816536171e-05	8.366864599003797e-01	0.000000000000000e+00	
44	5.531246585345200e-01	-2.974558876071776e-02	-8.190178480791905e-01	1.401470828682154e-01	5.063144978699013e-02	-1.841705075326390e-05	-3.199476619190882e+00	0.000000000000000e+00	
45	5.367126638096298e-01	-3.042669534893463e-02	-8.425475145775652e-01	1.405664439364243e-01	5.273855832409437e-02	-1.833759235639571e-05	6.978413414578790e-01	0.000000000000000e+00	
46	5.202503838172280e-01	-3.107031453395012e-02	-8.563114874234472e-01	1.399809301417884e-01	5.470457410246661e-02	-1.829825916975817e-05	-2.844674551141091e+00	0.000000000000000e+00	
47	5.037378581591218e-01	-3.167576708625752e-02	-8.774963801548287e-01	1.403355422405149e-01	5.687705650722659e-02	-1.818594218713581e-05	-1.090572453079817e-01	0.000000000000000e+00	
48	4.872065440578929e-01	-3.223920282036925e-02	-8.918441070520938e-01	1.393271113028286e-01	5.900765835382548e-02	-1.807274464660558e-05	-2.523991298312540e+00	0.000000000000000e+00	
49	4.706566053232103e-01	-3.276047219439807e-02	-9.180881600396198e-01	1.387837066882911e-01	6.129170981109948e-02	-1.794029972464529e-05	-6.654917494755613e-02	0.000000000000000e+00	
