"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
1858, 9.783604703191046e-01, 7.709124583568442e-01, 5.908791094646114e-03, 1.076922848811020e+00, 1.268139111791639e-01, 7.055267235440291e-01
1859, 9.633881935053112e-01, 7.751409518635212e-01, 7.917968234195511e-03, 1.051711134999651e+00, 7.639048355642507e-02, 7.322367376007454e-01
1860, 9.486526829807853e-01, 7.229572762608972e-01, 7.934928406640045e-03, 1.051969333299229e+00, 7.690688015558099e-02, 7.331115348208113e-01
1861, 9.636230478673238e-01, 7.187293221028866e-01, 5.910427927909060e-03, 1.077883552089778e+00, 1.287353177366785e-01, 7.063466195336883e-01
1862, 6.380830726139247e-01, 1.086664599786930e+00, 1.139550969700976e-02, 5.287301240831165e-01, -9.695715382766434e-01, 1.309614029806296e+00
1863, 6.492798305383305e-01, 1.105938531239445e+00, 1.133297840156722e-02, 5.198857440223126e-01, -9.872602983982512e-01, 1.318029218145245e+00
1864, 6.451881598974882e-01, 1.108306401808467e+00, 8.536856957672454e-03, 7.249829479288452e-01, -5.770658905851861e-01, 1.099533005812976e+00
1865, 6.512455970197998e-01, 1.022917564370130e+00, 1.931190428441003e-02, 5.121314793753224e-01, -1.002768827692232e+00, 1.299864417521537e+00
1866, 6.644402194559481e-01, 1.045587462006045e+00, 1.914059353570178e-02, 5.070126522758893e-01, -1.013006481891098e+00, 1.309438424211043e+00
1867, 6.509813941307633e-01, 1.053406202699746e+00, 1.718782577052547e-02, 4.801291328832768e-01, -1.066773520676323e+00, 1.351178372483211e+00
1868, 6.377890128602931e-01, 1.030734850441044e+00, 1.733798224287389e-02, 4.816950517254401e-01, -1.063641682991996e+00, 1.341355306204255e+00
1869, 9.987205232704619e-01, 7.651623368261465e-01, 3.045425380912142e-03, 1.125058409657437e+00, 2.230850328719973e-01, 6.556737114235283e-01
1870, 9.898690324509962e-01, 7.676621902612211e-01, 4.295785521706934e-03, 1.103350878269325e+00, 1.796699700957731e-01, 6.781675376398192e-01
1871, 9.751314153588919e-01, 7.154791089592824e-01, 4.295923602884466e-03, 1.104017717612246e+00, 1.810036487816147e-01, 6.792185732544852e-01
1872, 9.839828931279220e-01, 7.129792592097935e-01, 3.045463711493980e-03, 1.127003895169708e+00, 2.269760038965387e-01, 6.574677739257089e-01
1873, 9.575299875542843e-01, 1.104497347098556e+00, 1.714101113655802e-02, 9.625468830381883e-01, -1.019380203665001e-01, 8.050240947246308e-01
1874, 9.445390861647676e-01, 1.060326609941352e+00, 1.729368768597194e-02, 9.559739495294378e-01, -1.150838873840010e-01, 8.058211992124125e-01
1875, 9.738689057674375e-01, 1.071782436498482e+00, 1.504300146984076e-02, 9.878333417333376e-01, -5.136510297620144e-02, 7.757524458128581e-01
1876, 9.141404070503114e-01, 1.078103242103852e+00, 1.992654156890832e-02, 9.253698985255745e-01, -1.762919893917276e-01, 8.360846705951088e-01
1877, 9.163660971403453e-01, 1.119510765853671e+00, 2.036526839845999e-02, 9.217518809326984e-01, -1.835280245774797e-01, 8.470839147566898e-01
1882, 1.013925427298304e+00, 9.541169910876445e-01, 7.846596678422368e-03, 1.046954629556985e+00, 6.687747267109322e-02, 7.255203034001549e-01
1883, 9.944261694911531e-01, 9.596238907844322e-01, 1.015709034275037e-02, 1.026819254904892e+00, 2.660672336690694e-02, 7.468411287046124e-01
1884, 9.832928975526205e-01, 9.201894282150537e-01, 1.018782915700642e-02, 1.027385726783932e+00, 2.773966712498720e-02, 7.485205682299966e-01
1885, 1.002790684490721e+00, 9.146829377108172e-01, 7.863985976304486e-03, 1.048241585691347e+00, 6.945138493981727e-02, 7.251200897659780e-01
1888, 9.289385092825297e-01, 5.519190251671050e-01, 4.296046155136730e-03, 1.106944754676745e+00, 1.868577229106143e-01, 6.783916800937888e-01
1889, 9.174307033628257e-01, 5.551690797347620e-01, 5.914866786669438e-03, 1.081895804576784e+00, 1.367598227106921e-01, 7.044926510108779e-01
1890, 9.022023096039300e-01, 5.012477217443171e-01, 5.916074627449503e-03, 1.082693121828928e+00, 1.383544572149793e-01, 7.072045207648968e-01
1891, 9.137099552918138e-01, 4.979977124282029e-01, 4.296024571828497e-03, 1.107504245572798e+00, 1.879767047027200e-01, 6.814735826737858e-01
1892, 6.223857697595218e-01, 1.004263795828175e+00, 1.751230711573533e-02, 4.823617965087461e-01, -1.062308193425384e+00, 1.338646728596102e+00
1893, 6.274824203647691e-01, 1.036719731756068e+00, 1.544897335485108e-02, 4.509935010675214e-01, -1.125044784307834e+00, 1.381570255998984e+00
1894, 6.120816154360121e-01, 1.010247144219488e+00, 1.560522713910817e-02, 4.512317694811593e-01, -1.124568247480558e+00, 1.374041444854476e+00
1895, 8.989723155153087e-01, 4.458146375324685e-01, 4.295989236954628e-03, 1.108527917146898e+00, 1.900240478509194e-01, 6.846733359091524e-01
1896, 9.078238205810025e-01, 4.433147800745784e-01, 3.045737995061057e-03, 1.129463948654184e+00, 2.318961108654913e-01, 6.639504555855459e-01
1897, 9.225614486369668e-01, 4.954978582802666e-01, 3.045683736142012e-03, 1.129282950035011e+00, 2.315341136271462e-01, 6.608649939208669e-01
1898, 7.215630156023901e-01, 1.082971172167149e+00, 2.138935802285752e-02, 5.008025285159391e-01, -1.025426729410998e+00, 1.335137453766150e+00
1899, 7.466443257135115e-01, 1.095316130869904e+00, 2.215089844711774e-02, 5.508550270767074e-01, -9.253217322894616e-01, 1.235196173031825e+00
1900, 7.235045104150527e-01, 1.102259554072873e+00, 2.066209343048838e-02, 4.975623917995330e-01, -1.031907002843810e+00, 1.352921403833418e+00
1901, 1.099267446423238e+00, 1.059719838135995e+00, 7.744571368207051e-04, 1.164449415668312e+00, 3.018670448937466e-01, 5.798565787754354e-01
1902, 1.092306906406793e+00, 1.035073935871143e+00, 7.744470368330687e-04, 1.165860712719130e+00, 3.046896389953839e-01, 5.746088538418280e-01
1903, 1.102366609395715e+00, 1.058844567138214e+00, 3.367477006967239e-04, 1.199750490679710e+00, 3.724691949165438e-01, 5.560021301212008e-01
1904, 8.232819907638731e-01, 9.791277977820907e-02, 1.343712595225076e-03, 1.168389398641580e+00, 3.097470108402839e-01, 6.561859655868955e-01
1905, 8.182334251838567e-01, 8.003680749963232e-02, 1.343695648411125e-03, 1.168299843148137e+00, 3.095678998533978e-01, 6.614369681004488e-01
1906, 8.222623439429626e-01, 7.889895325525360e-02, 7.747260964383740e-04, 1.184378306260867e+00, 3.417248260788570e-01, 6.258692720024718e-01
1907, 8.273109072976054e-01, 9.677492616232837e-02, 7.747260285598386e-04, 1.184136017562469e+00, 3.412402486820615e-01, 6.222455264346012e-01
1908, 9.848296318795590e-01, 6.545179343308896e-01, 7.745420220159080e-04, 1.178234008368466e+00, 3.294362302940556e-01, 5.924853549064839e-01
1910, 1.110639384336181e+00, 1.178871918000360e+00, 3.688489957465329e-03, 1.030929500590292e+00, 3.482721473770666e-02, 7.521239523896919e-01
1911, 1.100362425674218e+00, 1.175308023930309e+00, 4.889123172879165e-03, 1.022869996064260e+00, 1.870820568564246e-02, 7.564177586600678e-01
1912, 1.113426688785629e+00, 1.171314298904833e+00, 3.045580369162116e-03, 1.046518046458842e+00, 6.600430647480814e-02, 7.313577805158497e-01
1539, 6.697388361278438e-01, 0.000000000000000e+00, 1.659866242478563e-02, 9.454759837846564e-01, -1.360798188735639e-01, 8.886949696412582e-01
1571, 9.355389140385404e-01, 1.196300000000000e+00, 2.010858729721986e-02, 8.798213921539031e-01, -2.673890021350704e-01, 9.005776328339231e-01
1543, 7.415490823975918e-01, 0.000000000000000e+00, 8.398835899357891e-03, 1.013709912223363e+00, 3.880380038498997e-04, 8.225927865824662e-01
1921, 7.514890700235027e-01, 9.419755464195495e-03, 7.457708235355688e-03, 1.034166674564183e+00, 4.130156268548911e-02, 8.018086624310811e-01
1922, 1.116432566501839e+00, 1.120498144700341e+00, 7.744926287480739e-04, 1.152703289038885e+00, 2.783747916348926e-01, 6.143624408179430e-01
1923, 1.119531725898294e+00, 1.119622874712506e+00, 3.367558542339069e-04, 1.193758187647919e+00, 3.604845888529610e-01, 5.949240705195785e-01
1924, 8.554896814678685e-01, 1.147891157199096e+00, 2.276354239716544e-02, 8.902111932063833e-01, -2.466094000301099e-01, 8.882127063857445e-01
1577, 8.158140186939663e-01, 1.196300000000000e+00, 2.144780243583710e-02, 8.663601152034713e-01, -2.943115560359339e-01, 9.225633132433183e-01
1925, 8.207337379031794e-01, 1.181700370899646e+00, 2.198193855435251e-02, 8.750643743185430e-01, -2.769030378057906e-01, 9.154527605552852e-01
1926, 6.917693250248387e-01, 1.192354466830854e+00, 6.727027427618295e-03, 7.341129231325610e-01, -5.588059401777544e-01, 1.085072064729434e+00
1927, 6.912119439434827e-01, 1.188232144661181e+00, 8.215468849372090e-03, 6.579032982583026e-01, -7.112251899262713e-01, 1.155869733785516e+00
1928, 6.941297105577567e-01, 1.191440420886001e+00, 8.894342623956166e-03, 5.879761729217995e-01, -8.510794405992775e-01, 1.243495050753587e+00
1929, 6.741259784737060e-01, 1.158229330908035e+00, 8.468754806577805e-03, 7.029933432450340e-01, -6.210450999528084e-01, 1.126253117069749e+00
1930, 6.786186285628300e-01, 1.165979229342032e+00, 8.457742664267572e-03, 6.949448278884111e-01, -6.371421306660544e-01, 1.131217325516336e+00
1931, 6.761033898764808e-01, 1.167432962662642e+00, 5.390118197054468e-03, 9.659988319689387e-01, -9.503412250499929e-02, 8.617915145778852e-01
1932, 6.716181157179336e-01, 1.159678787839937e+00, 5.393077050921228e-03, 9.789223117931152e-01, -6.918716285664626e-02, 8.524222561076539e-01
1933, 5.538978214127913e-01, 9.561267005247178e-01, 5.459476380854493e-03, 1.052125432764723e+00, 7.721907908656876e-02, 7.836000094806090e-01
1934, 1.066127280796352e+00, 9.778045533025552e-01, 2.083941767421030e-03, 1.137045044214342e+00, 2.470583019858074e-01, 6.236111790462967e-01
1935, 1.071364809022236e+00, 9.763253614701698e-01, 1.343775667097242e-03, 1.159116247006393e+00, 2.912007075699092e-01, 6.089030864108878e-01
1936, 1.080340292112235e+00, 1.008105800994521e+00, 1.343747904628739e-03, 1.156466554263000e+00, 2.859013220831227e-01, 6.058418187122793e-01
