"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          39, 0.2819782777, 0.0128084026, 0.0140790652, 0.1486142955, -0.0628738640, 0.0128353335, -0.0022623368, 0.0140790652, 0.2822599619, 22.0151010988, -5.5817313256, -5.6307533211, -5.6245684127, -5.4267901519, -5.0836681177, 2.0000000000, 5.0000000000, 0.5906225840
          40, 0.2820563735, 0.0128269230, 0.0140867134, 0.1486789621, -0.0629390011, 0.0128366700, -0.0022480117, 0.0140867134, 0.2823389350, 21.9894026494, -5.6175643994, -5.6648539317, -5.6709341864, -5.4663621634, -5.1194816337, 2.0000000000, 5.0000000000, 0.6049583832
          41, 0.2821417815, 0.0128398038, 0.0140947646, 0.1487418397, -0.0630012280, 0.0128416234, -0.0022397085, 0.0140947646, 0.2824249088, 21.9739947160, -5.6534020047, -5.6982858769, -5.7171655463, -5.5061661151, -5.1551246374, 2.0000000000, 5.0000000000, 0.6192820986
          42, 0.2822293464, 0.0128475498, 0.0141029919, 0.1488006648, -0.0630586421, 0.0128495044, -0.0022366479, 0.0141029919, 0.2825127624, 21.9675620360, -5.6890805170, -5.7310886034, -5.7633539996, -5.5462280231, -5.1904954081, 2.0000000000, 5.0000000000, 0.6335792502
          43, 0.2823149358, 0.0128506317, 0.0141112388, 0.1488536930, -0.0631096575, 0.0128597788, -0.0022381393, 0.0141112388, 0.2825983942, 21.9689539159, -5.7244605251, -5.7633506672, -5.8095670293, -5.5865882971, -5.2255242586, 2.0000000000, 5.0000000000, 0.6479436835
          44, 0.2823952964, 0.0128495917, 0.0141193789, 0.1488997122, -0.0631532235, 0.0128719125, -0.0022434676, 0.0141193789, 0.2826785847, 21.9769860070, -5.7594505138, -5.7952056705, -5.8558769838, -5.6273056935, -5.2601935749, 2.0000000000, 5.0000000000, 0.6625403007
          45, 0.2824680875, 0.0128450685, 0.0141272740, 0.1489380809, -0.0631889545, 0.0128853492, -0.0022518700, 0.0141272740, 0.2827510307, 21.9903916203, -5.7939845339, -5.8267971819, -5.9023199059, -5.6684406768, -5.2944990288, 2.0000000000, 5.0000000000, 0.6778811018
          46, 0.2825317903, 0.0128376722, 0.0141348265, 0.1489685546, -0.0632167514, 0.0128996180, -0.0022626564, 0.0141348265, 0.2828142478, 22.0080234457, -5.8280500885, -5.8582648795, -5.9489135932, -5.7100552475, -5.3284727775, 2.0000000000, 5.0000000000, 0.6932803671
          47, 0.2825854598, 0.0128280215, 0.0141419634, 0.1489911845, -0.0632368367, 0.0129142751, -0.0022751583, 0.0141419634, 0.2828673256, 22.0287641559, -5.8616584319, -5.8897320161, -5.9956637169, -5.7522005489, -5.3621472930, 2.0000000000, 5.0000000000, 0.7085782170
          48, 0.2826287656, 0.0128166860, 0.0141486403, 0.1490063124, -0.0632496819, 0.0129289542, -0.0022887894, 0.0141486403, 0.2829099645, 22.0516260064, -5.8948401495, -5.9212922706, -6.0425712464, -5.7949113772, -5.3955508850, 2.0000000000, 5.0000000000, 0.7241963188
          49, 0.2826618712, 0.0128041698, 0.0141548421, 0.1490145171, -0.0632558574, 0.0129433678, -0.0023030550, 0.0141548421, 0.2829423548, 22.0757671839, -5.9276531973, -5.9529991683, -6.0896254701, -5.8382074757, -5.4287185503, 2.0000000000, 5.0000000000, 0.7399647514
          50, 0.2826852892, 0.0127909775, 0.0141605495, 0.1490164928, -0.0632561134, 0.0129572317, -0.0023174785, 0.0141605495, 0.2829650351, 22.1003664153, -5.9601756539, -5.9848743091, -6.1368022912, -5.8820883612, -5.4616920661, 2.0000000000, 5.0000000000, 0.7569289843
          51, 0.2826998440, 0.0127775478, 0.0141657636, 0.1490130432, -0.0632512997, 0.0129703364, -0.0023316661, 0.0141657636, 0.2829788523, 22.1247338933, -5.9924906874, -6.0169123278, -6.1840591139, -5.9265397520, -5.4945047603, 2.0000000000, 5.0000000000, 0.7743770003
          52, 0.2827066905, 0.0127642769, 0.0141704837, 0.1490051411, -0.0632424089, 0.0129825032, -0.0023452835, 0.0141704837, 0.2829849806, 22.1482730474, -6.0246807195, -6.0490782079, -6.2313126476, -5.9715381854, -5.5271821528, 2.0000000000, 5.0000000000, 0.7901060184
          53, 0.2827071678, 0.0127514980, 0.0141747194, 0.1489938120, -0.0632304520, 0.0129936090, -0.0023580697, 0.0141747194, 0.2829847750, 22.1705063920, -6.0568327253, -6.0813090871, -6.2784382112, -6.0170515302, -5.5597568371, 2.0000000000, 5.0000000000, 0.8079391837
          54, 0.2827026681, 0.0127394799, 0.0141784907, 0.1489800516, -0.0632163911, 0.0130035839, -0.0023698304, 0.0141784907, 0.2829796403, 22.1910683087, -6.0890309004, -6.1135239234, -6.3252607320, -6.0630502018, -5.5922656275, 2.0000000000, 5.0000000000, 0.8234133681
          55, 0.2826945906, 0.0127284422, 0.0141818131, 0.1489648297, -0.0632011450, 0.0130123812, -0.0023804212, 0.0141818131, 0.2829709850, 22.2096770784, -6.1213517918, -6.1456335336, -6.3715490025, -6.1094809526, -5.6247501954, 2.0000000000, 5.0000000000, 0.8402833501
          56, 0.2826842234, 0.0127185484, 0.0141847108, 0.1489489922, -0.0631855215, 0.0130199905, -0.0023897475, 0.0141847108, 0.2829601045, 22.2261389379, -6.1538533168, -6.1775524045, -6.4170544532, -6.1562960210, -5.6572470582, 2.0000000000, 5.0000000000, 0.8565924009
