"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
16	9.292136286917014e-01	-1.523234997429101e-02	1.292380658852033e+00	1.059986708680290e+01	2.346568128805923e+00	2.533954329962383e+05	1.013399334386484e+05	2.731621423010708e+02	2.438055250440976e-01	2.535363506724409e-02	
17	9.208829475583292e-01	-1.707233292229090e-02	1.292370757231838e+00	1.073188940147952e+01	2.363720334208863e+00	2.533938080253669e+05	1.013388349779551e+05	2.731612742312379e+02	2.258718935229356e-01	2.566357422265430e-02	
18	9.121395533854739e-01	-1.899280099072825e-02	1.292361453958867e+00	1.085854593793482e+01	2.377174376857722e+00	2.533922897121294e+05	1.013377944575567e+05	2.731604358588309e+02	2.088842038125632e-01	2.595944562056203e-02	
19	9.029729968090749e-01	-2.099296114460734e-02	1.292352294864199e+00	1.098021622017125e+01	2.386973490316263e+00	2.533907902696522e+05	1.013367761122750e+05	2.731596267743492e+02	1.922585483345585e-01	2.624216568184660e-02	
20	8.934029287772816e-01	-2.306552703478308e-02	1.292343540778628e+00	1.109736975484366e+01	2.393072827369031e+00	2.533893606031644e+05	1.013357993258518e+05	2.731588440980935e+02	1.763113889179909e-01	2.651280239668335e-02	
21	8.834389051352899e-01	-2.520497286691354e-02	1.292334855150245e+00	1.121050643184452e+01	2.395999851742742e+00	2.533879360354405e+05	1.013348366094309e+05	2.731580848686687e+02	1.605939384364651e-01	2.677279023496265e-02	
22	8.730804897843966e-01	-2.740853671815879e-02	1.292326307439772e+00	1.131986973374803e+01	2.395475506193674e+00	2.533865298228467e+05	1.013338930514189e+05	2.731573481212391e+02	1.451892709686474e-01	2.702257520028094e-02	
23	8.623472193437749e-01	-2.966775393589464e-02	1.292318449922246e+00	1.142566084920587e+01	2.391366394376059e+00	2.533852507165027e+05	1.013330119303865e+05	2.731566337855720e+02	1.308039588521807e-01	2.726257498204069e-02	
24	8.512587336704530e-01	-3.197522535810603e-02	1.292310315517593e+00	1.152764593418899e+01	2.384589986341633e+00	2.533839084443914e+05	1.013321176168548e+05	2.731559424045490e+02	1.162032640447340e-01	2.749274822826602e-02	
25	8.397945653873359e-01	-3.433222086859741e-02	1.292302266366627e+00	1.162693940217962e+01	2.374721086232839e+00	2.533825771111193e+05	1.013312364045919e+05	2.731552683113208e+02	1.018164624847520e-01	2.771546498790182e-02	
26	8.279942140566681e-01	-3.672593895052913e-02	1.292295199432996e+00	1.172311459389314e+01	2.361151634893545e+00	2.533814308749200e+05	1.013304401849816e+05	2.731546157099173e+02	8.881726352618428e-02	2.792948767096105e-02	
