"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
21, 8.834389051352899e-01, -2.520497286691354e-02, 1.013348366094309e+05, 1.605939384364651e-01, 2.677279023496265e-02
22, 8.730804897843966e-01, -2.740853671815879e-02, 1.013338930514189e+05, 1.451892709686474e-01, 2.702257520028094e-02
23, 8.623472193437749e-01, -2.966775393589464e-02, 1.013330119303865e+05, 1.308039588521807e-01, 2.726257498204069e-02
24, 8.512587336704530e-01, -3.197522535810603e-02, 1.013321176168548e+05, 1.162032640447340e-01, 2.749274822826602e-02
25, 8.397945653873359e-01, -3.433222086859741e-02, 1.013312364045919e+05, 1.018164624847520e-01, 2.771546498790182e-02
26, 8.279942140566681e-01, -3.672593895052913e-02, 1.013304401849816e+05, 8.881726352618428e-02, 2.792948767096105e-02
27, 8.158672722863028e-01, -3.915076411720702e-02, 1.013295894818445e+05, 7.492855845934664e-02, 2.813691062744087e-02
28, 8.034034880340656e-01, -4.160632331148030e-02, 1.013287717086330e+05, 6.157747222465131e-02, 2.833813229299772e-02
29, 7.906321670720340e-01, -4.408078284605962e-02, 1.013280179034713e+05, 4.927073781715782e-02, 2.853315167877495e-02
30, 7.775629772570845e-01, -4.656891518655407e-02, 1.013272331381290e+05, 3.645854292848247e-02, 2.872155028181487e-02
31, 7.642156949237243e-01, -4.906323441624420e-02, 1.013264967048095e+05, 2.443542378282427e-02, 2.890515872405995e-02
32, 7.505899736393787e-01, -5.155999908554187e-02, 1.013257572342482e+05, 1.236271817922746e-02, 2.908357880772321e-02
33, 7.366952603082479e-01, -5.405240892689941e-02, 1.013250708168587e+05, 1.156166494566127e-03, 2.925521114584834e-02
34, 7.225614385480075e-01, -5.653138219305300e-02, 1.013243582115443e+05, -1.047793311998800e-02, 2.942151129161974e-02
35, 7.081982796293251e-01, -5.899053811725875e-02, 1.013237074982534e+05, -2.110157441791167e-02, 2.958163547259289e-02
36, 6.936054469903078e-01, -6.142615384240640e-02, 1.013230202570035e+05, -3.232157656948227e-02, 2.973831957226280e-02
37, 6.788128719655436e-01, -6.382851902998635e-02, 1.013224238052182e+05, -4.205933651177683e-02, 2.988842099728637e-02
38, 6.638303336015632e-01, -6.619133339767916e-02, 1.013218039001220e+05, -5.217999867193428e-02, 3.003478770022453e-02
39, 6.486680111646832e-01, -6.851053261749178e-02, 1.013211829597584e+05, -6.231756276199634e-02, 3.017442178452004e-02
40, 6.333457763446105e-01, -7.077736870549564e-02, 1.013206451867162e+05, -7.109732487767016e-02, 3.031120842142538e-02
41, 6.178836428585401e-01, -7.298453847065162e-02, 1.013200845669517e+05, -8.025008595593670e-02, 3.043878720836906e-02
42, 6.022918829979979e-01, -7.512746076262021e-02, 1.013195555572593e+05, -8.888677632978491e-02, 3.056408867976018e-02
43, 5.865805370555901e-01, -7.720003704872228e-02, 1.013190484988574e+05, -9.716508669173436e-02, 3.068052752590003e-02
44, 5.707698828178659e-01, -7.919544363137498e-02, 1.013185656819500e+05, -1.050476268328986e-01, 3.079427430917131e-02
45, 5.548700141523145e-01, -8.110758962298688e-02, 1.013181360767396e+05, -1.120614249520999e-01, 3.089771588016173e-02
46, 5.389116903787469e-01, -8.292916815191713e-02, 1.013177046592164e+05, -1.191048111560188e-01, 3.099804430523336e-02
47, 5.228951998454505e-01, -8.465769206776555e-02, 1.013172773784628e+05, -1.260806598485157e-01, 3.108943130075911e-02
48, 5.068510956812466e-01, -8.628429719812407e-02, 1.013169578953102e+05, -1.312965889849244e-01, 3.117606038957411e-02
49, 4.907797668142289e-01, -8.780539986577121e-02, 1.013165957415005e+05, -1.372091655730582e-01, 3.125072658367434e-02
50, 4.747121407394899e-01, -8.921514834723060e-02, 1.013163234741919e+05, -1.416542418670920e-01, 3.131909043774998e-02
51, 4.586588145934677e-01, -9.050888203333314e-02, 1.013160418749675e+05, -1.462516723971054e-01, 3.137551544644183e-02
52, 4.426305066805470e-01, -9.168276948786618e-02, 1.013158190958719e+05, -1.498887968150906e-01, 3.142444875398562e-02
53, 4.266582386157968e-01, -9.273027782302294e-02, 1.013156220708976e+05, -1.531054556463979e-01, 3.146315493166543e-02
54, 4.107426167426590e-01, -9.364830206652247e-02, 1.013154882332195e+05, -1.552905093465161e-01, 3.149126596068096e-02
55, 3.949047005048369e-01, -9.443206750810820e-02, 1.013153852645277e+05, -1.569715914178769e-01, 3.151002807269727e-02
56, 3.791656006349831e-01, -9.507839298562003e-02, 1.013153521606873e+05, -1.575120496056303e-01, 3.151589326854680e-02
57, 3.635465142508375e-01, -9.558375176000437e-02, 1.013153170466717e+05, -1.580853262106276e-01, 3.151365891642933e-02
58, 3.480482345908625e-01, -9.594609934112071e-02, 1.013153835563025e+05, -1.569994801543478e-01, 3.149862670106005e-02
59, 3.326920310164674e-01, -9.616051749772414e-02, 1.013154722017022e+05, -1.555522422662542e-01, 3.147295460540624e-02
60, 3.175094365047856e-01, -9.622498926751522e-02, 1.013156700261693e+05, -1.523225307971406e-01, 3.143232909939770e-02
61, 3.025014411994542e-01, -9.613726596351072e-02, 1.013158653130850e+05, -1.491342477687858e-01, 3.137727399067326e-02
