"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          30, 0.2809017723, 0.0118516711, 0.0139744749, 0.1473019403, -0.0616024883, 0.0131524933, -0.0031602385, 0.0139744749, 0.2811339194, 23.7014485473, -5.0817748697, -5.1510679473, -5.1338655223, -5.0292674794, -4.5702924737, 2.0000000000, 5.0000000000, 0.4005085667
          31, 0.2803854483, 0.0120013211, 0.0139501748, 0.1471012077, -0.0613948757, 0.0130311609, -0.0029832396, 0.0139501748, 0.2806263202, 23.3628820036, -5.1129413063, -5.1817647032, -5.1725225240, -5.0630000197, -4.6022466176, 2.0000000000, 5.0000000000, 0.4134202997
          32, 0.2799567253, 0.0121499425, 0.0139312051, 0.1469527361, -0.0612507987, 0.0129219511, -0.0028119442, 0.0139312051, 0.2802061422, 23.0418148350, -5.1439287427, -5.2134303562, -5.2121562339, -5.0972422226, -4.6345460631, 2.0000000000, 5.0000000000, 0.4260603507
          33, 0.2796179396, 0.0122927950, 0.0139177816, 0.1468548200, -0.0611656283, 0.0128268767, -0.0026512104, 0.0139177816, 0.2798754652, 22.7464901559, -5.1747278346, -5.2459322646, -5.2528834978, -5.1319523478, -4.6669722690, 2.0000000000, 5.0000000000, 0.4388821483
          34, 0.2793680389, 0.0124260889, 0.0139098417, 0.1468045030, -0.0611335519, 0.0127471075, -0.0025047664, 0.0139098417, 0.2796330363, 22.4823788950, -5.2054030264, -5.2791216031, -5.2946509445, -5.1670968251, -4.6993959795, 2.0000000000, 5.0000000000, 0.4514600833
          35, 0.2792032836, 0.0125471160, 0.0139070302, 0.1467977804, -0.0611483948, 0.0126829593, -0.0023751170, 0.0139070302, 0.2794749765, 22.2523872154, -5.2360712996, -5.3128332273, -5.3372517338, -5.2026423926, -4.7317826077, 2.0000000000, 5.0000000000, 0.4644709309
          36, 0.2791180408, 0.0126538134, 0.0139089520, 0.1468302303, -0.0612031322, 0.0126343867, -0.0022640213, 0.0139089520, 0.2793955510, 22.0580177931, -5.2668624348, -5.3468682702, -5.3803910147, -5.2385376367, -4.7641528789, 2.0000000000, 5.0000000000, 0.4772318641
          37, 0.2791044186, 0.0127450382, 0.0139150398, 0.1468962286, -0.0612905318, 0.0126007133, -0.0021721994, 0.0139150398, 0.2793868179, 21.8990648778, -5.2978908098, -5.3810022690, -5.4237294826, -5.2747137696, -4.7965497750, 2.0000000000, 5.0000000000, 0.4900503476
          38, 0.2791532952, 0.0128203692, 0.0139246320, 0.1469896486, -0.0614034715, 0.0125808884, -0.0020995850, 0.0139246320, 0.2794396461, 21.7742010109, -5.3292465031, -5.4150205106, -5.4669449732, -5.3110896531, -4.8290254980, 2.0000000000, 5.0000000000, 0.5025983493
          39, 0.2792551291, 0.0128800430, 0.0139370521, 0.1471042863, -0.0615352228, 0.0125735101, -0.0020454323, 0.0139370521, 0.2795445203, 21.6812264384, -5.3609671882, -5.4487234026, -5.5097930411, -5.3475884152, -4.8615927810, 2.0000000000, 5.0000000000, 0.5153285662
          40, 0.2794004779, 0.0129247546, 0.0139516445, 0.1472344929, -0.0616796026, 0.0125770217, -0.0020085434, 0.0139516445, 0.2796920487, 21.6174686490, -5.3930195019, -5.4819415452, -5.5521296188, -5.3841445192, -4.8941978049, 2.0000000000, 5.0000000000, 0.5280462980
          41, 0.2795797106, 0.0129554200, 0.0139678525, 0.1473748411, -0.0618307927, 0.0125899056, -0.0019874894, 0.0139678525, 0.2798726628, 21.5801347848, -5.4253117998, -5.5145505480, -5.5939048231, -5.4207117914, -4.9267385467, 2.0000000000, 5.0000000000, 0.5405985316
          42, 0.2797839635, 0.0129733205, 0.0139851355, 0.1475204644, -0.0619839194, 0.0126105285, -0.0019805178, 0.0139851355, 0.2800775801, 21.5661027880, -5.4577049572, -5.5464837279, -5.6351306271, -5.4572735606, -4.9590808907, 2.0000000000, 5.0000000000, 0.5536090652
          43, 0.2800047850, 0.0129799464, 0.0140029856, 0.1476670117, -0.0621348575, 0.0126372274, -0.0019856892, 0.0140029856, 0.2802984404, 21.5721063374, -5.4900348882, -5.5777324694, -5.6758574496, -5.4938329649, -4.9910918151, 2.0000000000, 5.0000000000, 0.5660967986
          44, 0.2802350162, 0.0129768048, 0.0140210093, 0.1478109507, -0.0622801144, 0.0126685666, -0.0020011165, 0.0140210093, 0.2805281756, 21.5950707092, -5.5221336732, -5.6083417640, -5.7161482031, -5.5304152406, -5.0226690225, 2.0000000000, 5.0000000000, 0.5787000140
          45, 0.2804679486, 0.0129654409, 0.0140388479, 0.1479491734, -0.0624167144, 0.0127031538, -0.0020248985, 0.0140388479, 0.2807601693, 21.6319638967, -5.5538774649, -5.6384126150, -5.7560837632, -5.5670585405, -5.0537899444, 2.0000000000, 5.0000000000, 0.5912605166
          46, 0.2806974594, 0.0129473938, 0.0140561990, 0.1480789958, -0.0625422618, 0.0127396925, -0.0020551715, 0.0140561990, 0.2809883894, 21.6798425970, -5.5851782639, -5.6680765078, -5.7957011265, -5.6038150543, -5.0844801014, 2.0000000000, 5.0000000000, 0.6046011806
          47, 0.2809186632, 0.0129241968, 0.0140728093, 0.1481984707, -0.0626551544, 0.0127770151, -0.0020901437, 0.0140728093, 0.2812080395, 21.7358701966, -5.6160103320, -5.6974815250, -5.8350344248, -5.6407403662, -5.1148224580, 2.0000000000, 5.0000000000, 0.6176213304
          48, 0.2811275761, 0.0128972927, 0.0140884814, 0.1483061501, -0.0627543009, 0.0128141014, -0.0021281616, 0.0140884814, 0.2814152184, 21.7974100059, -5.6464063046, -5.7267807541, -5.8741113532, -5.6778884395, -5.1449394192, 2.0000000000, 5.0000000000, 0.6301706314
          49, 0.2813210837, 0.0128679993, 0.0141030791, 0.1484011242, -0.0628391213, 0.0128500989, -0.0021677430, 0.0141030791, 0.2816068863, 21.8620686375, -5.6764363538, -5.7561088338, -5.9129631549, -5.7153072036, -5.1749571064, 2.0000000000, 5.0000000000, 0.6429364999
          50, 0.2814969247, 0.0128375078, 0.0141165007, 0.1484829715, -0.0629095178, 0.0128842949, -0.0022075776, 0.0141165007, 0.2817808490, 21.9276925590, -5.7062034111, -5.7855770101, -5.9516137521, -5.7530233930, -5.2049960418, 2.0000000000, 5.0000000000, 0.6556313475
          51, 0.2816537681, 0.0128068946, 0.0141286819, 0.1485517731, -0.0629658993, 0.0129161081, -0.0022465198, 0.0141286819, 0.2819358345, 21.9923546189, -5.7358000790, -5.8152588827, -5.9900699694, -5.7910318131, -5.2351202782, 2.0000000000, 5.0000000000, 0.6684322158
          52, 0.2817910654, 0.0127770798, 0.0141396015, 0.1486079661, -0.0630090511, 0.0129451097, -0.0022836213, 0.0141396015, 0.2820713444, 22.0544185784, -5.7653175741, -5.8451851342, -6.0283246666, -5.8293075724, -5.2653602075, 2.0000000000, 5.0000000000, 0.6810069323
          53, 0.2819089937, 0.0127488217, 0.0141492697, 0.1486523544, -0.0630400933, 0.0129710140, -0.0023181342, 0.0141492697, 0.2821875962, 22.1125528418, -5.7948367944, -5.8753457025, -6.0663383557, -5.8678126731, -5.2957085716, 2.0000000000, 5.0000000000, 0.6934393167
          54, 0.2820083783, 0.0127227431, 0.0141577121, 0.1486860357, -0.0630604479, 0.0129936403, -0.0023494810, 0.0141577121, 0.2822854470, 22.1656899395, -5.8244249021, -5.9056869754, -6.1040307555, -5.9064951467, -5.3261263800, 2.0000000000, 5.0000000000, 0.7058653673
          55, 0.2820904744, 0.0126993037, 0.0141649838, 0.1487102532, -0.0630716319, 0.0130129399, -0.0023772694, 0.0141649838, 0.2823661748, 22.2130662124, -5.8541286862, -5.9361191584, -6.1412591347, -5.9452927359, -5.3565497377, 2.0000000000, 5.0000000000, 0.7181120475
          56, 0.2821568795, 0.0126788293, 0.0141711457, 0.1487263813, -0.0630752552, 0.0130289445, -0.0024012594, 0.0141711457, 0.2824313923, 22.2541744002, -5.8839846657, -5.9665269734, -6.1778456108, -5.9841381691, -5.3869207166, 2.0000000000, 5.0000000000, 0.7301608841
          57, 0.2822094887, 0.0126615167, 0.0141762749, 0.1487358902, -0.0630729425, 0.0130417709, -0.0024213557, 0.0141762749, 0.2824830023, 22.2887586137, -5.9140152626, -5.9967933673, -6.2136076953, -6.0229611081, -5.4171933171, 2.0000000000, 5.0000000000, 0.7422165473
          58, 0.2822502276, 0.0126474344, 0.0141804676, 0.1487401487, -0.0630661900, 0.0130516145, -0.0024375926, 0.0141804676, 0.2825229313, 22.3167971025, -5.9442274439, -6.0268197133, -6.2483870520, -6.0617081288, -5.4473424238, 2.0000000000, 5.0000000000, 0.7542983810
          59, 0.2822809995, 0.0126365448, 0.0141838238, 0.1487404206, -0.0630563646, 0.0130587228, -0.0024501094, 0.0141838238, 0.2825530781, 22.3384638836, -5.9746152369, -6.0565415500, -6.2820789699, -6.1003363202, -5.4773684451, 2.0000000000, 5.0000000000, 0.7664345304
          60, 0.2823037370, 0.0126287308, 0.0141864446, 0.1487379170, -0.0630447193, 0.0130633767, -0.0024591260, 0.0141864446, 0.2825753660, 22.3540862318, -6.0051566315, -6.0859485583, -6.3146721574, -6.1388239841, -5.5072958300, 2.0000000000, 5.0000000000, 0.7784729997
          61, 0.2823202280, 0.0126237923, 0.0141884382, 0.1487337010, -0.0630323082, 0.0130658916, -0.0024649378, 0.0141884382, 0.2825915698, 22.3641376819, -6.0358135287, -6.1150892474, -6.3462573735, -6.1771601998, -5.5371649900, 2.0000000000, 5.0000000000, 0.7904905319
          62, 0.2823320811, 0.0126214668, 0.0141899103, 0.1487286842, -0.0630200084, 0.0130665970, -0.0024678926, 0.0141899103, 0.2826032819, 22.3691972175, -6.0665303257, -6.1440664813, -6.3770392749, -6.2153443268, -5.5670186784, 2.0000000000, 5.0000000000, 0.8025843342
          63, 0.2823407876, 0.0126214563, 0.0141909609, 0.1487236879, -0.0630085831, 0.0130658205, -0.0024683680, 0.0141909609, 0.2826119755, 22.3699058023, -6.0972356802, -6.1730246654, -6.4072988779, -6.2533878609, -5.5968944620, 2.0000000000, 5.0000000000, 0.8147551338
          64, 0.2823476566, 0.0126234425, 0.0141916802, 0.1487193918, -0.0629986500, 0.0130638737, -0.0024667513, 0.0141916802, 0.2826189406, 22.3669301737, -6.1278439909, -6.2021207971, -6.4373437269, -6.2912981535, -5.6268067373, 2.0000000000, 5.0000000000, 0.8271850149
          65, 0.2823537883, 0.0126270929, 0.0141921502, 0.1487163192, -0.0629906520, 0.0130610539, -0.0024634334, 0.0141921502, 0.2826252585, 22.3609496475, -6.1582659397, -6.2315145504, -6.4674981135, -6.3290798225, -5.6567497281, 2.0000000000, 5.0000000000, 0.8394329508
          66, 0.2823600517, 0.0126320715, 0.0141924432, 0.1487148287, -0.0629848644, 0.0130576376, -0.0024587962, 0.0141924432, 0.2826317787, 22.3526324654, -6.1884165868, -6.2613484294, -6.4980512239, -6.3667381523, -5.6866961854, 2.0000000000, 5.0000000000, 0.8514778137
          67, 0.2823670490, 0.0126380487, 0.0141926206, 0.1487150924, -0.0629813892, 0.0130538731, -0.0024532011, 0.0141926206, 0.2826390852, 22.3426143641, -6.2182258581, -6.2917306846, -6.5292189650, -6.4042785023, -5.7165996037, 2.0000000000, 5.0000000000, 0.8634765824
          68, 0.2823751906, 0.0126447184, 0.0141927320, 0.1487171702, -0.0629802142, 0.0130499711, -0.0024469755, 0.0141927320, 0.2826475712, 22.3314732426, -6.2476529320, -6.3227206288, -6.5611183493, -6.4417080726, -5.7464053799, 2.0000000000, 5.0000000000, 0.8755004843
          69, 0.2823847012, 0.0126517982, 0.0141928152, 0.1487210116, -0.0629812244, 0.0130461075, -0.0024404135, 0.0141928152, 0.2826574461, 22.3197284796, -6.2766979129, -6.3543199939, -6.5937539710, -6.4790313769, -5.7760657999, 2.0000000000, 5.0000000000, 0.8892431657
          70, 0.2823956641, 0.0126590386, 0.0141928963, 0.1487264865, -0.0629842320, 0.0130424201, -0.0024337686, 0.0141928963, 0.2826687799, 22.3078285825, -6.3054017374, -6.3864740008, -6.6270212497, -6.5162490503, -5.8055463817, 2.0000000000, 5.0000000000, 0.9018335819
          71, 0.2824080233, 0.0126662193, 0.0141929991, 0.1487333929, -0.0629889778, 0.0130390207, -0.0024272579, 0.0141929991, 0.2826815048, 22.2961576926, -6.3338455295, -6.4190746796, -6.6607160661, -6.5533574040, -5.8348372272, 2.0000000000, 5.0000000000, 0.9146128138
          72, 0.2824216181, 0.0126731550, 0.0141931393, 0.1487414835, -0.0629951690, 0.0130359897, -0.0024210578, 0.0141931393, 0.2826954504, 22.2850283383, -6.3621383582, -6.4519707308, -6.6945539323, -6.5903371260, -5.8639522613, 2.0000000000, 5.0000000000, 0.9270045479
          73, 0.2824362169, 0.0126796958, 0.0141933263, 0.1487504908, -0.0630024966, 0.0130333797, -0.0024153056, 0.0141933263, 0.2827103776, 22.2746839063, -6.3904047766, -6.4849849006, -6.7282187867, -6.6271568116, -5.8929320445, 2.0000000000, 5.0000000000, 0.9393492341
          74, 0.2824515410, 0.0126857264, 0.0141935617, 0.1487601435, -0.0630106554, 0.0130312175, -0.0024101017, 0.0141935617, 0.2827260018, 22.2653029292, -6.4187686467, -6.5179353235, -6.7614021544, -6.6637680075, -5.9218372120, 2.0000000000, 5.0000000000, 0.9515878161
          75, 0.2824672927, 0.0126911661, 0.0141938417, 0.1487701771, -0.0630193537, 0.0130295069, -0.0024055106, 0.0141938417, 0.2827420214, 22.2570006734, -6.4473344958, -6.5506590738, -6.7938507327, -6.7000938150, -5.9507353172, 2.0000000000, 5.0000000000, 0.9639726837
          76, 0.2824831401, 0.0126959584, 0.0141941626, 0.1487803167, -0.0630282901, 0.0130282401, -0.0024015711, 0.0141941626, 0.2827581020, 22.2498476824, -6.4761755138, -6.5830329058, -6.8254129291, -6.7360358941, -5.9796904858, 2.0000000000, 5.0000000000, 0.9769829671
          77, 0.2824987542, 0.0127000741, 0.0141945173, 0.1487903020, -0.0630371854, 0.0130273930, -0.0023982948, 0.0141945173, 0.2827739135, 22.2438666254, -6.5053225112, -6.6149927187, -6.8560568279, -6.7714803477, -6.0087499707, 2.0000000000, 5.0000000000, 0.9895986160
          78, 0.2825138261, 0.0127035080, 0.0141948986, 0.1487998986, -0.0630457962, 0.0130269320, -0.0023956703, 0.0141948986, 0.2827891473, 22.2390402267, -6.5347590104, -6.6465432380, -6.8858778859, -6.8063055425, -6.0379362949, 2.0000000000, 5.0000000000, 1.0024221341
          79, 0.2825280815, 0.0127062767, 0.0141952989, 0.1488089091, -0.0630539202, 0.0130268151, -0.0023936666, 0.0141952989, 0.2828035302, 22.2353163746, -6.5644214219, -6.6777576294, -6.9150821097, -6.8404001667, -6.0672430356, 2.0000000000, 5.0000000000, 1.0150565505
          80, 0.2825412869, 0.0127084132, 0.0141957097, 0.1488171723, -0.0630613942, 0.0130269944, -0.0023922380, 0.0141957097, 0.2828168308, 22.2326172055, -6.5942065807, -6.7087637454, -6.9439432210, -6.8736802545, -6.0966355446, 2.0000000000, 5.0000000000, 1.0276358644
          81, 0.2825532553, 0.0127099648, 0.0141961210, 0.1488245628, -0.0630680969, 0.0130274187, -0.0023913276, 0.0141961210, 0.2828288649, 22.2308449162, -6.6239859368, -6.7397217709, -6.9727552164, -6.9061079697, -6.1260576510, 2.0000000000, 5.0000000000, 1.0403685649
          82, 0.2825638459, 0.0127109878, 0.0141965238, 0.1488309914, -0.0630739427, 0.0130280365, -0.0023908714, 0.0141965238, 0.2828394951, 22.2298889325, -6.6536236115, -6.7708004039, -7.0017825956, -6.9377059697, -6.1554415612, 2.0000000000, 5.0000000000, 1.0529018164
          83, 0.2825729637, 0.0127115449, 0.0141969082, 0.1488364023, -0.0630788805, 0.0130287971, -0.0023908017, 0.0141969082, 0.2828486296, 22.2296318295, -6.6829946970, -6.8021553718, -7.0312218621, -6.9685605626, -6.1847185336, 2.0000000000, 5.0000000000, 1.0659422835
