"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
1579, 7.833739051086379e-01, 1.196300000000000e+00, 2.008420415085521e-02, 8.081597213072280e-01, -4.107123438284205e-01, 9.611401583386158e-01
1941, 8.364683208708694e-01, 1.173508298335494e-01, 3.368221783298341e-04, 1.216704017380975e+00, 4.063762483190735e-01, 6.043846358079954e-01
1942, 8.176483999532063e-01, 5.071317488876217e-02, 3.368328660275173e-04, 1.224825205069849e+00, 4.226186236968207e-01, 6.181822633850318e-01
1943, 8.147267778544430e-01, 4.036828309998957e-02, 3.368345326000772e-04, 1.223291642225625e+00, 4.195514980083724e-01, 6.213521074163009e-01
1944, 8.211543464720090e-01, 6.312704503520844e-02, 3.368308683160986e-04, 1.222326197894875e+00, 4.176206093468741e-01, 6.168330380129533e-01
1947, 9.290974642472678e-01, 1.164684524776230e+00, 2.014160046435294e-02, 9.227416188549851e-01, -1.815485487329064e-01, 8.706414186367419e-01
1948, 9.542985198628180e-01, 1.160485067207569e+00, 1.843374742650642e-02, 9.465323998849118e-01, -1.339669866730530e-01, 8.516934087833379e-01
1565, 1.045589382209275e+00, 1.196300000000000e+00, 1.148256926457780e-02, 9.360701099051920e-01, -1.548915666324925e-01, 8.051072093266552e-01
1949, 1.035858087118323e+00, 1.184638296915453e+00, 1.210966549557782e-02, 9.710186985741526e-01, -8.499438929457147e-02, 8.030562861106403e-01
1950, 1.050491008475681e+00, 1.177643115654999e+00, 1.051313458643132e-02, 9.885020082769704e-01, -5.002776988893574e-02, 7.910021240994954e-01
1951, 8.457027953650726e-01, 1.184571750279158e+00, 2.230203455866341e-02, 8.714815096470282e-01, -2.840687671488202e-01, 9.162526850978718e-01
1952, 8.643643612599993e-01, 1.182887404926256e+00, 2.233003416836424e-02, 8.743996334742479e-01, -2.782325194943808e-01, 9.175423044859164e-01
1575, 8.530935583708332e-01, 1.196299999999999e+00, 2.214511091415000e-02, 8.731934002060673e-01, -2.806449860307420e-01, 9.230564414758756e-01
1953, 8.773118537198232e-01, 1.130000139393220e+00, 2.232877271182841e-02, 9.017585848604824e-01, -2.235146167219117e-01, 8.686734354667152e-01
1957, 6.137118333564390e-01, 1.044708493974934e+00, 1.152719109083147e-02, 5.340336577110223e-01, -9.589644710208318e-01, 1.301484745760137e+00
1958, 6.268867904066614e-01, 1.067390385313606e+00, 1.145674959898839e-02, 5.328175834685961e-01, -9.613966195056842e-01, 1.304124688060245e+00
1959, 6.096815677693728e-01, 1.047040495437205e+00, 8.614185621896758e-03, 7.391479886156631e-01, -5.487358092115503e-01, 1.084547382853166e+00
1574, 8.731156993073812e-01, 1.196300000000000e+00, 2.211601052747168e-02, 8.586946613720298e-01, -3.096424636988170e-01, 9.317901881877274e-01
1576, 8.339220096734795e-01, 1.196300000000000e+00, 2.190364941140809e-02, 8.647646768312856e-01, -2.975024327803055e-01, 9.253975243673177e-01
1541, 7.077408998569620e-01, 0.000000000000000e+00, 1.248413458516718e-02, 9.751804581191155e-01, -7.667087020464568e-02, 8.585107650881550e-01
1563, 1.072465956419268e+00, 1.196300000000000e+00, 8.781589815544515e-03, 9.527506819293193e-01, -1.215304225842379e-01, 8.127083453536963e-01
1965, 1.082494851276758e+00, 1.187188875111879e+00, 7.417602592115243e-03, 9.962277726554639e-01, -3.457624113194879e-02, 7.705570190435470e-01
1967, 7.446230612163097e-01, 1.141889690510438e+00, 2.018195399950612e-02, 4.960293390161463e-01, -1.034973108410584e+00, 1.314411321870242e+00
1968, 7.593650300491939e-01, 1.157506212356880e+00, 2.037333182346261e-02, 6.735194913891052e-01, -6.799928036646661e-01, 1.091144534779019e+00
1969, 7.451782352685834e-01, 1.162913393593568e+00, 1.921633800017648e-02, 5.140111874756113e-01, -9.990094114916540e-01, 1.313831963495248e+00
1970, 7.750369525547683e-01, 1.171452004252890e+00, 2.064334557878387e-02, 8.340673349172656e-01, -3.588971166083453e-01, 9.589389729470520e-01
1972, 8.293402695189963e-01, 1.193639464958090e-01, 1.343733382748620e-03, 1.168199922860068e+00, 3.093680592772587e-01, 6.504501903046780e-01
1973, 8.241027032454815e-01, 1.208431490735119e-01, 2.083608719990809e-03, 1.146714037662803e+00, 2.663962888827295e-01, 6.641476307485032e-01
1974, 8.180444289056181e-01, 9.939198110889699e-02, 2.083621680344754e-03, 1.146608209670014e+00, 2.661846328971506e-01, 6.706343773738623e-01
1975, 8.333691832638483e-01, 1.182260936675734e-01, 7.747254936828890e-04, 1.182931389792748e+00, 3.388309931426189e-01, 6.183094731417359e-01
1976, 1.084369166446346e+00, 1.006967959296796e+00, 7.744387874892466e-04, 1.168879681414136e+00, 3.107275763853957e-01, 5.765565403959122e-01
1982, 6.777994857608725e-01, 3.137318113351463e-02, 1.665214725382336e-02, 9.516151958203601e-01, -1.238013948021563e-01, 8.779547462925571e-01
1983, 7.327327574360526e-01, 1.171199033883767e+00, 1.774265046821751e-02, 4.772627068627177e-01, -1.072506372717441e+00, 1.368930102428601e+00
1580, 7.692013554874892e-01, 1.196300000000000e+00, 1.924162527220925e-02, 6.999203661003884e-01, -6.271910542420996e-01, 1.079112275963282e+00
1984, 8.113359930202484e-01, 1.164709185714450e+00, 2.219671555733748e-02, 8.948240606299988e-01, -2.373836651828791e-01, 9.009213734088900e-01
1542, 7.261909104134893e-01, 0.000000000000000e+00, 1.033151555531481e-02, 9.916705473777948e-01, -4.369069168728700e-02, 8.433993449441899e-01
1985, 8.304100452834594e-01, 9.589966222131487e-02, 3.368256081466005e-04, 1.220897238000827e+00, 4.147626895587777e-01, 6.103641906059915e-01
1986, 8.253614822950414e-01, 7.802368921081138e-02, 3.368284746340212e-04, 1.222185220554472e+00, 4.173386546660666e-01, 6.142195965674905e-01
1987, 8.051640291968933e-01, 3.376066005709940e-02, 1.343653674788729e-03, 1.163573100142493e+00, 3.001144138421087e-01, 6.732502859699558e-01
1988, 8.031351239941378e-01, 2.657670769925227e-02, 1.343647435030444e-03, 1.162402589554533e+00, 2.977733926661900e-01, 6.756189614805134e-01
1989, 8.071640488430638e-01, 2.543885173496380e-02, 7.747244470600583e-04, 1.192826068104348e+00, 3.586203497658191e-01, 6.306219193758236e-01
1990, 8.091929532784189e-01, 3.262280430954308e-02, 7.747248189051174e-04, 1.190701655781196e+00, 3.543715251195145e-01, 6.282631397662176e-01
1992, 7.211423943400656e-01, 1.188622755843024e+00, 1.524999986621858e-02, 4.583646670284989e-01, -1.110302452385879e+00, 1.412152626794807e+00
1584, 7.259886409775018e-01, 1.196300000000000e+00, 1.524941066451821e-02, 5.669655516339702e-01, -8.931006831749361e-01, 1.276679790432905e+00
1544, 7.543417562509949e-01, 0.000000000000000e+00, 6.742543363697071e-03, 1.037931618852145e+00, 4.883145126141296e-02, 7.993498968080637e-01
1996, 7.837282352543011e-01, 3.614319115784115e-03, 3.034818828196533e-03, 1.104119646667831e+00, 1.812075068927852e-01, 7.347744027811667e-01
1997, 7.775653104204199e-01, 5.270525082682515e-03, 3.901918115739110e-03, 1.090386671373913e+00, 1.537415563049493e-01, 7.482816010608347e-01
1547, 7.812850376381222e-01, 0.000000000000000e+00, 3.220918667007351e-03, 1.096905347819703e+00, 1.667789091965286e-01, 7.430243623816462e-01
1585, 7.171145088531725e-01, 1.196300000000000e+00, 1.402799465027147e-02, 4.750293454372929e-01, -1.076973095568291e+00, 1.415570771125370e+00
1581, 7.564202262735170e-01, 1.196300000000000e+00, 1.832004040936723e-02, 6.166680548128584e-01, -7.936956768171598e-01, 1.198606552422608e+00
2000, 1.123738862337401e+00, 1.134519518714116e+00, 3.367581692030814e-04, 1.190088812781488e+00, 3.531458391201000e-01, 6.088033518872648e-01
